Age,Annual Income,Employment Status,Loan Amount,Existing Debts,Credit Utilization Ratio,Number of Credit Accounts,Payment History,Credit History Length,Number of Late Payments,Debt-to-Income Ratio,Loan Purpose,Creditworthy
40,94764,Employed,54931,90206,0.66,7,0.82,8.3,3,0.25,Home Improvement,0
42,50834,Employed,39954,16460,0.33,11,0.93,8.2,1,0.23,Major Purchase,1
55,39904,Employed,13419,41991,0.38,4,0.83,22.5,3,0.21,Business,1
21,46881,Unemployed,19508,5533,0.87,5,0.81,1.9,3,0.11,Education,0
60,48108,Employed,15257,10288,0.59,6,0.87,41.2,2,0.1,Home Improvement,1
40,20627,Employed,8399,17836,0.69,11,0.82,8.5,3,0.2,Home Improvement,1
36,103514,Employed,37902,21710,0.27,1,0.98,11.4,0,0.11,Auto,1
29,50044,Employed,33309,9491,0.75,9,0.76,4.1,4,0.18,Education,0
22,61175,Employed,23678,40776,0.37,10,0.99,4.0,0,0.17,Home Improvement,1
51,78887,Employed,37539,79043,0.26,11,0.94,15.2,1,0.23,Education,1
42,29419,Employed,16311,9477,0.3,17,0.88,15.6,2,0.17,Auto,1
26,62114,Employed,6538,62695,0.42,8,0.93,1.9,1,0.15,Debt Consolidation,0
26,42880,Employed,4257,41574,0.62,11,0.92,6.1,1,0.14,Debt Consolidation,1
37,74860,Employed,40229,52022,0.44,13,0.93,5.8,1,0.21,Debt Consolidation,0
62,16922,Self-Employed,12398,13129,0.75,18,0.86,20.3,2,0.27,Debt Consolidation,1
38,46651,Self-Employed,31198,2263,0.56,16,0.92,17.8,1,0.17,Home Improvement,0
23,36264,Employed,17044,15976,0.54,2,0.92,4.9,1,0.17,Business,1
39,60847,Employed,22772,19232,0.41,5,0.93,9.5,1,0.13,Home Improvement,1
38,62008,Employed,15772,11161,0.27,3,1.0,16.9,0,0.08,Debt Consolidation,1
18,34412,Unemployed,8900,16090,0.78,6,0.76,0.1,4,0.12,Home Improvement,0
41,34334,Self-Employed,11790,14622,0.37,17,1.0,19.6,0,0.13,Major Purchase,1
39,46382,Self-Employed,30011,40568,0.49,16,0.99,13.6,0,0.26,Debt Consolidation,1
50,31309,Employed,12505,22470,0.37,6,0.83,16.1,3,0.18,Major Purchase,1
64,74681,Employed,51396,81829,0.64,19,0.77,41.0,4,0.3,Debt Consolidation,0
55,40757,Employed,13279,7111,0.61,7,0.82,31.4,3,0.1,Debt Consolidation,1
38,15000,Employed,1657,1075,0.41,14,0.93,6.6,1,0.04,Auto,0
28,40643,Employed,12157,26073,0.54,6,0.87,8.1,2,0.15,Home Improvement,0
72,29165,Self-Employed,19083,35,0.64,8,0.72,6.3,5,0.16,Auto,0
42,21684,Employed,5456,20496,0.61,15,0.82,19.9,3,0.17,Business,0
42,26404,Employed,15525,16031,0.34,15,0.99,16.5,0,0.21,Debt Consolidation,1
41,51777,Employed,30917,30324,0.32,15,0.99,2.9,0,0.21,Education,1
44,95255,Self-Employed,72499,41435,0.51,16,0.92,18.1,1,0.23,Education,1
40,57330,Employed,23619,25796,0.35,1,0.98,13.2,0,0.15,Business,1
35,36197,Employed,5535,18726,0.76,11,0.91,10.5,1,0.1,Home Improvement,1
35,61571,Self-Employed,15580,1184,0.41,11,0.99,5.7,0,0.06,Debt Consolidation,0
41,38966,Employed,16664,3906,0.55,5,0.87,6.9,2,0.11,Education,0
35,34637,Employed,12818,20991,0.52,5,0.87,13.2,2,0.16,Major Purchase,1
33,27524,Employed,2976,4958,0.58,13,0.98,4.6,0,0.05,Debt Consolidation,1
43,20416,Employed,8937,19078,0.53,6,0.77,11.7,4,0.22,Debt Consolidation,1
38,40337,Self-Employed,30504,13286,0.81,2,0.71,14.2,5,0.22,Debt Consolidation,0
60,53051,Self-Employed,37437,6232,0.45,6,0.88,4.3,2,0.18,Auto,0
18,46708,Employed,1937,13183,0.52,4,0.82,0.6,3,0.04,Debt Consolidation,0
55,39815,Employed,22980,17061,0.81,9,0.99,22.2,0,0.19,Debt Consolidation,1
56,30550,Employed,18673,1294,0.47,3,0.88,26.3,2,0.15,Education,1
18,66444,Employed,38438,11296,0.45,4,0.83,0.4,3,0.16,Debt Consolidation,0
37,25372,Employed,19534,9859,0.4,16,0.83,9.1,3,0.23,Debt Consolidation,1
37,72259,Employed,8421,26921,0.56,1,0.87,6.9,2,0.07,Home Improvement,1
25,29699,Employed,16814,28524,0.66,9,0.87,5.8,2,0.25,Home Improvement,1
32,33650,Self-Employed,26088,34050,0.3,5,0.99,2.7,0,0.31,Debt Consolidation,0
28,23543,Employed,13953,5464,0.8,6,0.91,9.7,1,0.17,Debt Consolidation,1
63,38150,Employed,2516,5673,0.88,16,0.98,28.9,0,0.03,Home Improvement,1
53,79830,Employed,47340,60750,0.39,19,0.88,31.2,2,0.23,Auto,0
57,63437,Self-Employed,44042,61251,0.44,16,0.88,17.2,2,0.28,Home Improvement,1
50,79954,Employed,35172,92463,0.34,11,0.93,11.3,1,0.24,Education,1
28,63644,Employed,7170,519,0.38,10,0.88,9.1,2,0.03,Debt Consolidation,1
35,28230,Employed,3353,14013,0.51,8,0.92,2.6,1,0.09,Debt Consolidation,0
47,41548,Employed,12999,36594,0.66,1,0.77,4.3,4,0.18,Business,1
27,33186,Employed,11938,32995,0.68,10,0.82,3.4,3,0.21,Debt Consolidation,0
50,95347,Self-Employed,64134,7126,0.59,9,0.87,30.8,2,0.17,Home Improvement,1
39,26946,Unemployed,1580,22007,0.88,12,1.0,13.7,0,0.11,Business,0
37,76638,Self-Employed,60556,26572,0.5,6,0.92,11.0,1,0.23,Auto,0
50,76609,Employed,20713,6857,0.35,8,0.93,22.9,1,0.08,Auto,1
47,122370,Employed,74829,71821,0.17,17,0.94,12.7,1,0.22,Education,1
37,39940,Employed,5550,7579,0.3,10,0.88,14.6,2,0.06,Debt Consolidation,1
55,69993,Unemployed,46248,61901,1.15,7,0.84,15.2,2,0.26,Major Purchase,1
29,153403,Employed,94954,111189,0.24,3,0.99,9.3,0,0.24,Business,1
49,35996,Employed,20347,36373,0.54,6,0.98,9.0,0,0.26,Debt Consolidation,1
49,22753,Employed,1298,10308,0.7,19,0.82,9.3,3,0.07,Business,1
38,19148,Employed,5116,305,0.61,15,0.87,10.9,2,0.07,Home Improvement,1
45,70007,Employed,17428,21819,0.51,2,0.87,12.2,2,0.1,Education,1
26,19118,Employed,8647,10732,0.52,5,0.92,5.5,1,0.18,Debt Consolidation,1
53,40694,Employed,3543,33889,0.36,10,0.93,13.4,1,0.12,Home Improvement,0
39,61001,Self-Employed,21243,27965,0.79,16,0.86,5.6,2,0.14,Debt Consolidation,0
35,53776,Employed,5778,34591,0.54,7,1.0,8.5,0,0.1,Home Improvement,1
54,60640,Employed,15558,38149,0.35,8,0.98,20.6,0,0.14,Debt Consolidation,0
33,54783,Employed,16383,10845,0.34,10,0.98,3.0,0,0.1,Home Improvement,1
25,92914,Employed,31033,69467,0.43,8,0.88,4.3,2,0.17,Education,0
23,30450,Self-Employed,20539,16050,0.47,8,0.78,2.3,4,0.23,Business,0
49,34944,Employed,17671,33877,0.71,15,0.66,12.8,6,0.24,Debt Consolidation,0
26,33311,Employed,21089,27605,0.69,10,0.82,3.0,3,0.25,Business,1
63,74242,Employed,34284,9930,0.5,12,0.92,42.0,1,0.13,Home Improvement,1
18,76895,Unemployed,3201,45099,0.62,3,0.67,0.7,6,0.08,Business,0
62,61427,Employed,32000,51782,0.49,14,0.88,12.3,2,0.23,Home Improvement,0
44,88587,Employed,13629,9249,0.27,18,0.99,17.1,0,0.05,Business,1
40,27200,Employed,9102,25867,0.65,13,0.87,18.8,2,0.19,Education,1
35,112827,Employed,62525,30057,0.27,4,0.98,7.4,0,0.16,Home Improvement,1
46,104989,Employed,37426,63381,0.42,17,0.93,23.4,1,0.16,Debt Consolidation,1
41,70813,Self-Employed,7922,79924,0.38,9,0.88,4.4,2,0.16,Major Purchase,1
55,119479,Employed,70822,81914,0.24,7,1.0,30.6,0,0.22,Business,1
43,21411,Self-Employed,12515,10895,0.36,1,0.98,14.0,0,0.2,Home Improvement,0
43,37713,Employed,29652,307,0.63,7,0.92,6.4,1,0.19,Debt Consolidation,0
37,33939,Employed,4936,5433,0.28,10,0.94,8.3,1,0.05,Auto,1
41,70314,Employed,26745,48825,0.44,7,0.93,22.7,1,0.17,Major Purchase,1
45,28996,Self-Employed,1990,17182,0.69,7,0.77,21.4,4,0.09,Debt Consolidation,1
21,71592,Employed,22355,31256,0.32,8,0.93,2.2,1,0.13,Business,1
25,97272,Self-Employed,62049,107763,0.41,3,0.88,1.7,2,0.29,Debt Consolidation,0
50,69397,Self-Employed,31619,27687,0.47,13,0.98,14.0,0,0.16,Major Purchase,1
44,56493,Unemployed,8721,36413,0.63,10,0.82,7.6,3,0.11,Auto,1
39,29913,Employed,19235,20413,0.55,7,0.77,2.4,4,0.24,Debt Consolidation,1
42,32098,Employed,9189,20316,0.47,5,1.0,13.5,0,0.14,Debt Consolidation,0
46,91565,Self-Employed,54159,52476,0.59,7,0.82,25.0,3,0.21,Education,1
35,72379,Employed,52773,29275,0.33,9,0.83,11.8,3,0.22,Education,1
32,48073,Employed,3178,52423,0.46,14,0.78,4.2,4,0.15,Business,0
44,39777,Employed,1838,21517,0.79,17,0.81,15.3,3,0.08,Auto,0
30,17802,Employed,10747,11288,0.36,4,0.98,11.4,0,0.22,Home Improvement,1
46,28697,Employed,22318,22606,0.48,16,0.88,20.5,2,0.28,Major Purchase,1
21,127479,Employed,27619,10148,0.19,3,1.0,2.4,0,0.06,Education,1
54,25842,Employed,10625,24227,0.44,10,0.93,34.9,1,0.21,Business,1
47,53892,Employed,9104,33143,0.48,3,0.88,23.4,2,0.11,Business,0
45,81123,Employed,48746,63974,0.49,3,0.93,4.6,1,0.24,Business,0
53,26174,Employed,8338,24247,0.46,17,0.93,12.8,1,0.19,Debt Consolidation,1
61,53763,Employed,2168,56392,0.65,10,0.92,41.5,1,0.14,Education,1
54,78351,Employed,16187,36876,0.27,17,0.94,18.1,1,0.11,Home Improvement,1
19,49328,Unemployed,32073,48030,0.73,6,0.86,1.0,2,0.27,Home Improvement,0
26,200000,Employed,57500,38825,0.29,1,0.94,4.2,1,0.09,Home Improvement,0
34,21283,Employed,1947,16864,0.66,5,0.82,11.5,3,0.12,Business,0
42,83230,Employed,12323,10257,0.35,4,0.99,23.9,0,0.05,Debt Consolidation,0
48,44963,Employed,15550,1080,0.34,6,0.88,10.4,2,0.09,Home Improvement,1
33,72110,Self-Employed,3627,8286,0.64,12,0.72,8.2,5,0.03,Debt Consolidation,1
44,61123,Employed,17232,23425,0.44,17,0.78,23.0,4,0.11,Debt Consolidation,0
32,33976,Employed,19919,1267,0.29,1,0.98,5.6,0,0.15,Education,1
34,54967,Employed,19656,41587,0.49,10,0.88,2.6,2,0.18,Debt Consolidation,1
25,19361,Employed,4463,7354,0.73,7,0.86,6.7,2,0.1,Debt Consolidation,0
30,66278,Employed,17544,58566,0.34,13,0.88,6.4,2,0.17,Home Improvement,1
25,56901,Employed,23982,3135,0.52,3,0.92,4.0,1,0.11,Debt Consolidation,0
30,67462,Employed,20566,17542,0.29,2,0.89,7.8,2,0.1,Debt Consolidation,1
54,83204,Employed,15880,40736,0.43,16,0.98,1.1,0,0.1,Business,0
30,58912,Employed,12936,27051,0.37,14,0.93,11.2,1,0.11,Business,1
73,52788,Self-Employed,31748,8298,1.09,6,0.65,20.5,6,0.16,Debt Consolidation,0
47,31554,Employed,19411,37641,0.34,6,0.93,12.1,1,0.29,Debt Consolidation,0
44,34333,Employed,13198,11718,0.71,13,0.81,5.4,3,0.13,Major Purchase,0
31,88731,Employed,9376,76773,0.53,7,0.87,5.5,2,0.13,Debt Consolidation,0
50,100525,Employed,68432,26541,0.76,5,0.86,25.9,2,0.2,Education,1
35,43518,Self-Employed,19923,45842,0.76,8,0.76,13.8,4,0.24,Education,1
43,50161,Employed,18116,23340,0.38,7,0.99,23.5,0,0.14,Auto,1
72,31185,Retired,10813,33713,0.85,2,0.76,22.4,4,0.21,Major Purchase,0
40,88113,Self-Employed,52313,36143,0.25,17,0.94,15.9,1,0.19,Home Improvement,1
55,68371,Employed,42337,709,0.62,13,0.99,19.3,0,0.15,Home Improvement,1
33,129392,Employed,21232,77553,0.24,14,0.98,12.3,0,0.11,Education,1
41,31597,Unemployed,18692,19897,0.66,16,0.77,16.7,4,0.22,Major Purchase,0
63,40578,Employed,13384,5835,0.66,2,0.87,17.2,2,0.1,Business,1
34,55034,Employed,34609,15516,0.3,5,0.94,6.1,1,0.18,Education,1
63,67727,Employed,52323,63676,0.7,18,0.91,12.1,1,0.3,Business,0
50,44009,Employed,27278,1941,0.36,7,0.93,18.9,1,0.15,Debt Consolidation,1
35,31682,Employed,11827,18610,0.6,11,0.99,16.4,0,0.16,Home Improvement,1
49,76168,Self-Employed,20769,48479,0.3,11,0.94,7.0,1,0.14,Debt Consolidation,1
53,70302,Employed,5821,58101,0.29,17,0.94,4.2,1,0.12,Debt Consolidation,0
49,31003,Employed,23197,1393,0.79,16,0.61,4.6,7,0.18,Education,0
23,96540,Self-Employed,18797,67845,0.54,6,0.67,4.1,6,0.13,Business,0
33,88000,Employed,66580,327,0.44,5,0.99,5.9,0,0.18,Education,1
39,52425,Employed,30607,16682,0.57,16,0.99,5.5,0,0.18,Education,1
41,51011,Employed,19070,30587,0.36,16,0.99,8.8,0,0.16,Debt Consolidation,1
49,64668,Self-Employed,6236,70716,0.42,16,0.93,20.4,1,0.15,Education,1
44,31861,Self-Employed,7625,4839,0.8,14,0.76,14.7,4,0.08,Home Improvement,0
25,49762,Employed,28817,10108,0.76,6,0.91,5.5,1,0.16,Education,1
46,16710,Employed,3725,13419,0.54,2,0.87,10.2,2,0.15,Debt Consolidation,1
49,75980,Employed,26999,34178,0.37,14,0.93,14.6,1,0.14,Education,1
48,22454,Self-Employed,9009,16797,0.45,16,0.99,4.0,0,0.19,Home Improvement,0
54,103954,Employed,5014,124426,0.4,13,0.93,3.6,1,0.16,Education,1
52,41561,Employed,6780,49218,0.41,15,0.88,16.3,2,0.18,Debt Consolidation,0
47,44097,Self-Employed,5595,18717,0.43,12,0.83,9.4,3,0.08,Home Improvement,0
41,35815,Employed,9265,21657,0.84,9,0.91,14.5,1,0.13,Home Improvement,0
22,42445,Employed,2560,46079,0.32,10,0.93,1.1,1,0.14,Auto,0
47,99634,Employed,59235,11019,0.58,18,0.92,4.4,1,0.16,Auto,1
44,15000,Employed,11081,8141,0.61,14,0.92,22.6,1,0.24,Business,1
45,92826,Employed,26822,42058,0.59,4,0.98,15.7,0,0.12,Education,1
26,58047,Unemployed,12994,20540,0.69,8,0.67,6.0,6,0.1,Debt Consolidation,0
29,26808,Employed,17856,31982,0.47,8,0.78,9.4,4,0.3,Auto,0
54,28633,Employed,22819,25204,0.83,16,0.86,17.2,2,0.3,Home Improvement,1
41,113345,Employed,35985,52875,0.63,10,0.82,17.7,3,0.13,Debt Consolidation,1
50,30553,Employed,11271,30394,0.9,17,0.8,17.3,3,0.21,Auto,1
42,27538,Employed,17436,16181,0.64,1,0.87,6.1,2,0.22,Debt Consolidation,1
42,86565,Employed,3987,90667,0.44,18,0.98,8.8,0,0.14,Debt Consolidation,1
53,58062,Self-Employed,9330,18559,0.51,10,0.82,17.7,3,0.08,Auto,0
35,30669,Employed,19521,8228,0.59,10,0.87,6.1,2,0.18,Auto,1
43,54628,Employed,34595,16210,0.56,4,0.87,9.1,2,0.19,Auto,0
36,29352,Employed,11275,18966,0.62,1,0.87,6.7,2,0.17,Debt Consolidation,0
36,85000,Unemployed,49119,29713,0.96,4,0.8,3.1,3,0.18,Business,0
38,83340,Employed,28552,14713,0.31,4,0.88,2.6,2,0.1,Auto,0
44,63959,Self-Employed,30225,76337,0.44,4,0.93,2.2,1,0.26,Business,1
36,58737,Employed,38603,63466,0.36,1,0.93,2.9,1,0.29,Auto,0
57,118254,Unemployed,29940,90110,0.59,9,0.77,14.1,4,0.15,Education,0
31,49013,Employed,9377,52436,0.45,14,0.88,8.1,2,0.17,Debt Consolidation,1
39,27148,Self-Employed,4442,30474,0.84,13,0.91,4.8,1,0.17,Auto,0
36,61373,Employed,8402,49793,0.58,4,0.77,16.1,4,0.13,Education,1
59,139110,Employed,36961,77801,0.54,5,0.82,33.3,3,0.13,Debt Consolidation,1
44,29514,Employed,5928,31236,0.95,13,0.75,14.0,4,0.18,Auto,0
54,40915,Self-Employed,10604,27877,0.61,16,1.0,26.3,0,0.14,Education,1
24,60368,Employed,28764,9185,0.34,6,0.99,2.8,0,0.13,Education,1
45,47717,Unemployed,14777,21006,1.03,5,0.7,2.0,5,0.13,Home Improvement,0
52,29996,Self-Employed,8596,16050,0.48,8,0.93,30.8,1,0.13,Debt Consolidation,1
42,85899,Employed,53068,96415,0.46,16,0.83,3.9,3,0.28,Debt Consolidation,0
54,156376,Self-Employed,26591,98877,0.15,1,0.89,34.2,2,0.12,Auto,1
35,54071,Employed,5537,56792,0.4,7,0.93,10.2,1,0.15,Debt Consolidation,1
58,31193,Employed,24435,28357,0.82,6,0.76,12.9,4,0.3,Debt Consolidation,0
69,22595,Retired,14932,8401,0.87,11,0.66,25.8,6,0.2,Major Purchase,0
37,55769,Employed,39413,48097,0.47,16,0.98,10.0,0,0.27,Debt Consolidation,1
36,85130,Employed,5261,19951,0.42,5,0.83,1.4,3,0.04,Education,0
59,62167,Employed,35703,30447,0.61,16,0.87,15.2,2,0.2,Major Purchase,0
60,48961,Employed,27044,47360,0.47,7,0.88,31.3,2,0.25,Education,1
35,36510,Employed,5538,26809,0.47,3,0.88,9.2,2,0.12,Auto,0
36,28393,Employed,5426,28122,0.52,1,0.92,5.2,1,0.16,Major Purchase,0
38,74412,Employed,2358,22743,0.31,9,0.93,7.4,1,0.04,Business,1
25,77411,Self-Employed,14423,69646,0.6,2,0.92,6.2,1,0.15,Education,0
30,22632,Employed,2769,5494,0.45,13,0.93,6.8,1,0.06,Home Improvement,1
29,108544,Employed,28337,71026,0.26,10,0.89,6.3,2,0.14,Home Improvement,1
32,65318,Employed,26765,33980,0.62,3,0.87,13.5,2,0.16,Business,1
41,98695,Employed,47493,65905,0.42,10,0.93,8.1,1,0.2,Business,1
44,25057,Self-Employed,18576,4075,0.43,9,0.68,13.0,6,0.2,Business,0
60,24762,Employed,3816,10733,0.5,13,0.78,34.3,4,0.09,Education,1
30,45502,Employed,29197,36414,0.86,3,0.91,9.3,1,0.25,Home Improvement,0
53,63031,Employed,24409,42245,0.51,15,0.98,10.0,0,0.17,Debt Consolidation,1
39,120352,Employed,5856,79283,0.35,17,0.93,4.0,1,0.09,Debt Consolidation,1
41,69775,Unemployed,31444,42771,0.98,14,0.8,16.4,3,0.18,Auto,0
50,43419,Self-Employed,22601,49178,0.32,7,0.73,9.0,5,0.26,Debt Consolidation,0
28,29343,Employed,16419,32907,0.5,4,0.92,9.3,1,0.27,Debt Consolidation,0
46,90671,Employed,42185,39185,0.37,16,0.99,4.5,0,0.16,Business,1
43,30261,Employed,11170,12778,0.81,8,0.86,8.6,2,0.14,Debt Consolidation,0
47,110661,Employed,73291,73686,0.45,4,0.88,2.5,2,0.24,Major Purchase,1
45,42523,Self-Employed,23851,4878,0.41,15,0.88,19.3,2,0.15,Debt Consolidation,0
71,108585,Retired,37745,39482,0.3,5,0.94,47.3,1,0.13,Major Purchase,1
34,68834,Employed,30712,19069,0.34,13,1.0,10.5,0,0.14,Home Improvement,1
35,45775,Self-Employed,13023,12270,0.28,6,0.94,16.0,1,0.1,Debt Consolidation,0
34,37808,Employed,28220,28968,0.44,12,0.98,2.9,0,0.27,Education,1
35,41338,Employed,2883,19065,0.53,11,0.77,2.4,4,0.07,Business,0
34,60727,Employed,1540,12473,0.41,14,0.93,13.6,1,0.03,Home Improvement,0
56,50948,Employed,9837,54263,0.34,5,0.88,32.7,2,0.17,Education,1
59,36428,Employed,22469,38211,0.7,17,0.86,34.2,2,0.27,Major Purchase,1
35,45124,Employed,22185,46700,0.8,7,0.91,13.8,1,0.24,Debt Consolidation,0
32,50985,Employed,38494,23906,0.7,6,0.91,5.7,1,0.24,Business,1
47,16909,Employed,8022,1156,0.49,2,0.93,7.1,1,0.12,Debt Consolidation,0
35,61641,Self-Employed,10046,7895,0.39,11,0.83,15.9,3,0.05,Home Improvement,1
49,30035,Employed,7634,9949,0.54,7,0.77,10.2,4,0.1,Debt Consolidation,1
44,27538,Employed,1404,7268,0.88,8,0.91,11.0,1,0.04,Home Improvement,1
23,21085,Self-Employed,4343,22113,0.62,5,0.72,3.8,5,0.18,Debt Consolidation,0
60,19991,Unemployed,8811,23661,0.81,18,0.71,13.0,5,0.25,Debt Consolidation,0
63,24891,Unemployed,8018,24393,0.89,16,0.71,37.0,5,0.19,Home Improvement,0
34,34388,Employed,26095,30117,0.48,14,0.88,2.1,2,0.29,Education,0
37,130174,Employed,96877,88293,0.37,12,0.78,15.2,4,0.26,Education,1
45,37686,Employed,12132,34817,0.54,17,0.92,16.6,1,0.19,Education,1
46,53576,Employed,35175,60885,0.74,5,0.86,16.5,2,0.29,Debt Consolidation,0
49,59888,Unemployed,10012,43215,1.1,14,0.7,14.8,5,0.13,Major Purchase,0
66,52340,Retired,8030,9710,0.4,6,0.88,14.0,2,0.06,Home Improvement,0
39,47158,Employed,21914,9272,0.38,15,0.99,10.3,0,0.14,Debt Consolidation,0
32,26966,Employed,8928,18893,0.51,7,0.87,6.9,2,0.16,Education,1
25,101261,Employed,13027,40520,0.49,2,0.93,4.5,1,0.08,Auto,0
33,121006,Self-Employed,72742,132174,0.68,1,0.77,4.9,4,0.28,Debt Consolidation,0
41,21134,Employed,12479,15511,0.41,6,0.99,2.7,0,0.23,Debt Consolidation,1
63,29377,Employed,19565,23847,0.39,3,1.0,7.4,0,0.26,Business,1
35,42620,Employed,32677,297,0.27,5,0.94,12.2,1,0.18,Home Improvement,1
44,30264,Employed,4232,18116,0.68,12,0.92,1.6,1,0.11,Home Improvement,1
41,63131,Employed,49385,32663,0.49,11,0.98,19.8,0,0.25,Major Purchase,1
56,34059,Employed,26000,28848,0.57,13,0.99,26.7,0,0.28,Debt Consolidation,1
72,144715,Retired,51703,57395,0.34,16,0.93,41.7,1,0.13,Education,1
35,88900,Employed,34125,104181,0.29,15,0.98,14.4,0,0.23,Debt Consolidation,1
36,54518,Unemployed,12638,43845,0.79,2,0.76,3.1,4,0.15,Debt Consolidation,0
54,81919,Self-Employed,18978,64871,0.69,17,0.77,29.8,4,0.15,Debt Consolidation,0
50,85216,Unemployed,55280,94010,0.52,17,0.92,16.6,1,0.29,Education,0
64,36976,Employed,26586,44158,0.53,11,0.99,40.8,0,0.32,Debt Consolidation,1
49,32594,Employed,25772,7737,0.33,10,0.93,27.6,1,0.22,Education,1
37,50974,Employed,10225,49578,0.4,13,0.93,1.4,1,0.16,Major Purchase,1
49,75419,Self-Employed,26437,14690,0.33,16,0.99,12.5,0,0.11,Auto,1
55,52550,Unemployed,32238,28821,0.73,2,0.81,20.0,3,0.21,Debt Consolidation,0
51,22281,Self-Employed,17732,2678,0.44,17,0.93,22.7,1,0.21,Debt Consolidation,0
48,32813,Employed,16763,24545,0.8,10,0.81,9.3,3,0.21,Home Improvement,1
54,47240,Unemployed,2658,26559,0.82,13,0.76,9.8,4,0.08,Home Improvement,0
56,47200,Employed,26150,35609,0.73,12,0.76,15.1,4,0.22,Major Purchase,0
58,131435,Employed,14315,101694,0.43,15,0.98,20.5,0,0.12,Major Purchase,1
49,24514,Employed,19203,18221,0.37,7,0.93,29.5,1,0.28,Home Improvement,0
39,63120,Employed,39649,22270,0.6,13,0.92,16.2,1,0.19,Debt Consolidation,0
43,103213,Employed,40423,103661,0.69,12,0.92,11.3,1,0.21,Business,1
56,152622,Employed,64617,82752,0.94,12,0.9,3.0,1,0.17,Auto,1
32,40046,Employed,21392,23539,0.76,12,0.91,3.2,1,0.2,Home Improvement,0
46,62674,Employed,7043,74235,0.75,2,0.81,13.3,3,0.17,Home Improvement,1
37,65178,Self-Employed,17867,22174,0.51,5,0.92,15.6,1,0.11,Home Improvement,1
42,54054,Employed,37680,34250,0.3,2,0.94,9.8,1,0.24,Business,1
57,46656,Employed,1357,38201,0.68,13,0.92,21.5,1,0.11,Debt Consolidation,1
44,60960,Self-Employed,46440,9160,0.37,3,0.83,23.3,3,0.2,Business,0
42,15000,Self-Employed,9445,6376,0.42,11,0.88,22.0,2,0.2,Debt Consolidation,0
25,68942,Employed,42794,66323,0.32,1,0.83,2.3,3,0.26,Major Purchase,0
50,52213,Employed,34958,14834,0.28,19,0.89,2.4,2,0.19,Home Improvement,1
49,43860,Employed,31408,25962,0.35,11,0.99,10.2,0,0.24,Debt Consolidation,1
67,136411,Retired,27279,94594,0.21,9,0.94,34.4,1,0.13,Debt Consolidation,1
38,34980,Employed,5564,28172,0.45,14,0.99,19.1,0,0.13,Education,1
44,40073,Self-Employed,23363,35022,0.83,9,0.76,2.9,4,0.24,Debt Consolidation,0
44,132690,Employed,42452,129896,0.21,7,0.89,1.7,2,0.19,Education,1
60,32337,Self-Employed,4409,15244,0.3,16,0.94,37.3,1,0.09,Debt Consolidation,1
40,37232,Self-Employed,29722,31570,0.67,3,0.87,16.7,2,0.29,Debt Consolidation,0
45,45546,Self-Employed,12319,40017,0.71,19,0.81,26.8,3,0.17,Home Improvement,1
49,74635,Employed,27696,26893,0.42,4,0.83,12.9,3,0.13,Education,1
44,54388,Self-Employed,42011,63186,0.38,7,0.88,11.4,2,0.32,Home Improvement,1
36,25685,Employed,2908,26667,0.47,7,0.93,3.9,1,0.15,Home Improvement,0
44,37568,Employed,4646,13067,0.73,12,0.91,3.9,1,0.07,Education,0
54,36182,Employed,25099,29310,0.76,18,0.91,21.3,1,0.26,Home Improvement,1
29,47164,Employed,14832,40624,0.53,12,0.99,4.6,0,0.18,Debt Consolidation,1
43,60652,Employed,19761,31404,0.6,5,0.92,2.9,1,0.14,Debt Consolidation,1
33,60421,Employed,12586,62625,0.75,7,0.91,13.4,1,0.17,Debt Consolidation,1
56,20170,Employed,5336,16706,0.44,10,0.78,8.3,4,0.16,Education,1
23,83447,Employed,2625,65904,0.54,8,0.87,4.0,2,0.1,Home Improvement,0
35,55619,Employed,33007,14739,0.71,3,0.66,5.5,6,0.17,Home Improvement,0
46,97955,Employed,39186,47940,0.56,15,0.92,22.9,1,0.15,Auto,0
60,61212,Self-Employed,26804,31873,0.51,1,0.99,5.9,0,0.17,Debt Consolidation,1
41,85021,Employed,38154,74851,0.34,3,0.98,17.6,0,0.21,Education,1
35,61899,Employed,7354,45933,0.42,11,0.93,2.6,1,0.12,Debt Consolidation,1
64,96096,Employed,35157,9901,0.43,18,0.98,21.1,0,0.1,Auto,1
24,63648,Employed,18871,23501,0.67,2,0.92,4.7,1,0.12,Education,1
18,46678,Employed,10108,26496,0.37,2,0.93,0.3,1,0.12,Business,0
47,152697,Employed,76869,110509,0.14,5,0.98,9.0,0,0.21,Business,1
35,76459,Unemployed,50862,68222,0.73,13,0.71,14.8,5,0.27,Auto,0
29,65308,Employed,19270,38443,0.8,1,0.76,9.9,4,0.14,Business,0
50,25896,Employed,3216,3633,0.61,10,0.82,2.4,3,0.05,Debt Consolidation,1
44,25741,Employed,18704,9047,0.54,10,0.87,5.2,2,0.22,Debt Consolidation,0
35,56746,Self-Employed,17304,17343,0.27,5,0.99,2.9,0,0.11,Major Purchase,1
26,52720,Employed,25290,49410,0.46,2,0.93,2.3,1,0.23,Business,1
52,36059,Employed,28139,7788,0.66,15,0.87,33.0,2,0.21,Home Improvement,0
49,52601,Self-Employed,15433,29346,0.38,8,0.93,17.5,1,0.14,Home Improvement,1
40,108479,Employed,70981,87310,0.75,17,0.81,10.8,3,0.25,Business,0
